ID,NAME,WEBSITE
0014100000MUa0gAAD,"NetApp, Inc.",netapp.com
0014100000MUa0hAAD,Ingredion Incorporated,ingredion.com
0014100000MUa0iAAD,"Level 3 Communications, Inc.",level3.com
0014100000MUa0jAAD,Calpine Corporation,calpine.com
0014100000MUa0kAAD,"Omnicare, Inc.",omnicare.com
0014100000MUa0lAAD,Erie Insurance Group,erieinsurance.com
0014100000MUa0mAAD,SLM Corporation,salliemae.com
0014100000MUa0nAAD,"D.R. Horton, Inc.",drhorton.com
0014100000MUa0oAAD,"CC Media Holdings, Inc.",clearchannel.com
0014100000MUa0pAAD,Anixter International Inc.,anixter.com
0014100000MUa0qAAD,"Dick's Sporting Goods, Inc.",dickssportinggoods.com
0014100000MUa0rAAD,SanDisk Corporation,sandisk.com
0014100000MUa0sAAD,NCR Corporation,ncr.com
0014100000MUa0tAAD,"Starwood Hotels &amp; Resorts Worldwide, Inc.",starwoodhotels.com
0014100000MUa0uAAD,"Expeditors International of Washington, Inc.",expeditors.com
0014100000MUa0vAAD,"Fidelity National Information Services, Inc.",fisglobal.com
0014100000MUZvzAAH,Qualcomm Incorporated,qualcomm.com
0014100000MUZw0AAH,Emerson Electric Co.,emerson.com
0014100000MUZw1AAH,Northrop Grumman Corporation,northropgrumman.com
0014100000MUZw2AAH,Duke Energy Corporation,duke-energy.com
0014100000MUZw3AAH,Capital One Financial Corporation,capitalone.com
0014100000MUZw4AAH,Aflac Incorporated,aflac.com
0014100000MUZw5AAH,Raytheon Company,raytheon.com
0014100000MUZw6AAH,"Staples, Inc.",staples.com
0014100000MUZw7AAH,EMC Corporation,emc.com
0014100000MUZw8AAH,Eli Lilly and Company,lilly.com
0014100000MUZw9AAH,Alcoa Inc.,alcoa.com
0014100000MUZwAAAX,"National Oilwell Varco, Inc.",nov.com
0014100000MUZwBAAX,Baker Hughes Incorporated,bakerhughes.com
0014100000MUZwCAAX,"US Foods, Inc.",usfoods.com
0014100000MUZwDAAX,Time Warner Cable Inc.,twc.com
0014100000MUZwEAAX,Union Pacific Corporation,up.com
0014100000MUZwFAAX,Abbott Laboratories,abbott.com
0014100000MUZwGAAX,Xerox Corporation,xerox.com
0014100000MUZwHAAX,"Arrow Electronics, Inc",arrow.com
0014100000MUZwIAAX,Kimberly-Clark Corporation,kimberly-clark.com
0014100000MUZwJAAX,U.S. Bancorp,usbank.com
0014100000MUZwKAAX,United Services Automobile Association,usaa.com
0014100000MUZwLAAX,Freeport-McMoRan Copper &amp; Gold Inc.,fcx.com
